chunk_id,kind,title,easy_text,modern_text,action_text
mg_s04,site,모임과 빠짐,기운이 모이는 자리와 스쳐 지나가는 자리를 함께 적는 것이 기록의 버릇입니다,좋은 점만 말하지 않습니다. 들어온 흐름이 오래 남는지 봅니다,"중심부에 큰 장애물을 두지 말고, 한곳에 앉아 쉴 자리를 만드세요"
mg_s05,site,안정과 활동,"뒤가 받치면 안정, 앞과 길이 열리면 활동입니다. 둘 다 있으면 혼합에 가깝습니다",활동적인 터라고 해서 나쁜 땅이 아닙니다. 쓰임이 다를 뿐입니다,"일할 자리는 열린 쪽, 쉴 자리는 받치는 쪽에 두세요"
mg_s06,site,장점과 아쉬움,옛 기록도 길한 말만 적지 않고 주의를 옆에 두었습니다,"한눈에 장점 셋, 아쉬움 둘을 짝으로 보여 주면 자리가 선명해집니다",아쉬운 점마다 실행 가능한 손질을 하나씩 붙이세요
mg_b01,business,고객이 들어오는 길,사업 자리는 사람이 어떻게 입구까지 닿는지를 먼저 봅니다. 옛 기록의 길목 이야기와 같습니다,노출이 좋다고 매출이 정해지지 않습니다. 입구가 보이고 들어가기 쉬운지가 핵심입니다,입구 간판·문을 가리는 적재를 치우세요
mg_b02,business,들어온 뒤 머물게,유입만 세고 체류가 약하면 스쳐 가는 가게가 됩니다. 기록은 모임과 빠짐을 같이 봅니다,카운터·상담 테이블이 입구에서 바로 흩어지면 결정이 짧아집니다,입구 다음에 한 템포 머무는 자리를 만드세요
mg_b03,business,도로에서 내부까지,도로 → 입구 → 내부 중심이 한 줄로 이어지는지 봅니다,시선이 중간에 끊기면 들어온 흐름이 흩어집니다. 상권 통계가 아닙니다,입구에서 중심까지 바닥과 조명을 단순하게 이으세요
mg_b04,business,직원과 대표,옛 기록은 지키는 자리와 맞는 자리를 나누었습니다. 등 뒤가 열린 대표석은 마음이 들뜹니다,"직원 자리는 안정, 맞이하는 자리는 열림이 필요합니다",대표 자리는 문을 보면서 등 뒤에 벽을 두세요
mg_b05,business,유입과 체류의 균형,사람 카드가 높아도 안정 카드가 낮으면 손님은 오되 오래 앉지 못합니다,상대 지표로만 말합니다. 매출 예측이 아닙니다,체류가 약하면 의자·온기·소음을 먼저 손보세요
mg_b06,business,업종은 공간 성향으로,"상담·교육은 머물림, 빠른 회전은 열림이 더 맞습니다. 업종 매출 숫자는 없습니다","잘 맞는 업종은 공간 결을 옮긴 말일 뿐, 장사가 된다는 약속이 아닙니다",성향과 다른 업종이면 입구와 체류 장치부터 보완하세요
mg_m01,move,생활이 머무는 집,이사 판단은 활동성보다 휴식·보호·리듬을 먼저 봅니다,"크게 흔들리는지, 생활을 정리하기 좋은지 결만 말합니다. 이사 금지는 하지 않습니다",침실을 가장 조용한 안쪽에 두는지 확인하세요
mg_m02,move,침실과 현관,현관과 침실이 직선으로 뚫리면 외부 자극이 침실까지 옵니다. 옛 기록도 문을 중히 여겼습니다,현관-거실-침실이 한 줄이면 가림이 필요합니다,문 앞에 낮은 장이나 가림을 두어 직선을 꺾으세요
mg_m03,move,소음과 창밖,빠른 도로가 창을 보면 생활 안정이 약해질 수 있습니다. 흉지라는 뜻이 아닙니다,침실 창이 큰 길을 보면 수면이 얕아지기 쉽습니다,"침실은 안쪽 방으로, 창은 두꺼운 커튼으로 한 겹 거르세요"
mg_m04,move,빛과 개방,앞이 열리면 채광과 기분이 살아납니다. 다만 너무 열리면 휴식이 부족해질 수 있습니다,오전·오후 빛이 어디서 드는지 실제로 보세요,"낮에 쓰는 방은 열린 쪽, 잠자는 방은 받치는 쪽에 두세요"
mg_m05,move,단정하지 않기,옛 기록에도 조건이 맞으면 쓸 수 있다는 말이 더 많습니다. 이사하면 안 된다는 말은 쓰지 않습니다,"매우 잘 맞음부터 다른 후보와 비교까지, 다섯 칸 안에서만 말합니다",확신이 없으면 생활 동선을 한 번 더 걸어 보고 비교하세요
mg_m06,move,현실 확인,"기록만으로 방 안을 다 보지 못합니다. 침실 위치, 직선, 창밖, 압박, 채광은 현장에서 확인합니다",측정과 기록이 없는 칸은 없다고 말합니다,이사 전에 아침·저녁 한 번씩 집을 걸어 보세요
mg_k01,compat,나에게 맞는 자리,"좋은 땅인가보다, 지금 나에게 맞는가입니다. 같은 터도 사람마다 결이 다릅니다",점수는 공간 상대 지표이지 운세가 아닙니다. 생년월일로 사주를 만들지 않습니다,내 목적이 쉼인지 움직임인지 먼저 적고 자리를 보세요
mg_k02,compat,공간이 주는 것,자리는 안정·집중·변화·관계·활동·재물 흐름·휴식·창의 중 몇 가지를 더 줍니다,카드가 가리키는 결만 고릅니다. 없는 선물을 지어내지 않습니다,필요한 선물과 겹치면 과해질 수 있으니 반대쪽 방을 비워 두세요
mg_k03,compat,겹치면 과함,활동 많은 사람이 활동 센 자리에 있으면 휴식이 부족해질 수 있습니다,잘 맞는다는 말이 무조건 좋다는 뜻은 아닙니다,하루의 끝은 등 뒤가 막힌 안쪽에서 보내세요
mg_k04,compat,잘 맞는 구석,"같은 집에서도 후면·안쪽이 맞는 사람이 있고, 창가가 맞는 사람이 있습니다",특히 잘 맞는 자리는 방향 용어만이 아니라 벽·문·창으로 말합니다,오래 앉는 일을 그 구석에 두세요
mg_k05,compat,하는 일만 참고,하는 일이 있으면 그 리듬에 자리가 받치는지 봅니다. 직업 길흉을 점치지 않습니다,"재택이 많으면 집중 구역, 사람을 많이 만나면 열린 입구가 더 잘 맞습니다",일 공간과 쉬는 공간을 문으로라도 나누세요
mg_k06,compat,목적은 궁합을 바꿈,"주거로 쓰면 안정이, 일터로 쓰면 열림이 더 중요해집니다",같은 점수라도 목적이 바뀌면 라벨이 달라질 수 있습니다,목적이 흔들리면 먼저 목적을 정한 뒤 다시 보세요
mg_p01,place,책상과 등 뒤,옛 기록은 일을 하는 자리에 등 뒤가 받치는지를 중히 여겼습니다,문은 보이되 등 뒤에는 벽. 문을 정면으로 마주하면 마음이 들뜹니다,"책상을 벽 쪽에 붙이고, 문은 옆으로 보이게 두세요"
mg_p02,place,침대는 안정,잠자리는 외부 흐름이 가장 약한 안쪽이 좋습니다. 현관 직선·큰 창 아래는 피합니다,머리 쪽에 단단한 벽이 있으면 휴식이 살아납니다,침대를 옮기기 어려우면 머리맡에 낮은 헤드보드나 장을 두세요
mg_p03,place,현관 가구,현관은 들어오는 문입니다. 큰 장식장이 문을 가리면 흐름이 꺾입니다,신발장·거울은 문을 막지 않는 옆면이 낫습니다,"현관 정면 큰 거울보다 측면 거울, 바닥은 비워 두세요"
mg_p04,place,거울과 문,거울이 문을 정면으로 받으면 드나드는 흐름이 튕긴다고 옛 기록은 조심했습니다,현대에도 현관 정면 거울은 시선이 부딪힙니다,"거울은 옆벽, TV는 등을 기대는 자리 반대쪽에 두세요"
mg_p05,place,금고와 눈에 띄지 않음,재물을 담는 상자는 드러내기보다 받치는 안쪽에 두라는 기록이 있습니다,창가·입구 앞 금고는 마음이 들뜹니다. 숫자 약속이 아닙니다,금고는 문에서 바로 보이지 않는 낮은 장 안에 두세요
mg_p06,place,작은 변화,자리를 못 옮겨도 등 뒤·가림·정리만으로 보완할 수 있습니다,작은 변화 하나를 분명히 적는 것이 이 메뉴의 끝입니다,오늘 할 수 있는 한 가지만 먼저 하세요
mg_p07,place,소파와 식탁,"함께 앉는 자리는 문을 등지지 않고, 너무 창바람에 붙지 않는 중간이 편합니다","소파는 벽, 식탁은 빛이 오되 직사와 출입이 스치지 않게","소파 등 뒤에 벽을 두고, 식탁은 동선 한가운데를 피하세요"
mg_q01,compare,하나를 고른다,두 자리를 견줄 때는 장단을 말한 뒤 반드시 하나를 고릅니다. 애매한 무승부는 쓰지 않습니다,"목적은 고르는 저울입니다. 사업이면 열림, 집이면 받침","목적 한 줄을 적고, 그 저울로 A 또는 B를 고르세요"
mg_q02,compare,기회와 지키는 자리,"한쪽은 사람을 불러 기회를 만들고, 다른 쪽은 들어온 것을 지키는 결인 경우가 많습니다",결정적 차이는 한 문장으로 말합니다,지금 필요한 것이 키움인지 지킴인지 먼저 고르세요
mg_q03,compare,상대 지표,항목 점수는 카드 정수에 스무 배를 한 상대 값입니다. 명당 점수가 아닙니다,가짜 92·76을 만들지 않습니다. 카드가 같으면 지형 힌트만 살짝 기울입니다,숫자보다 어느 항목이 더 열린지를 보세요
mg_q04,compare,목적별 추천,사업·집·집중은 저울이 다릅니다. 한 자리를 모든 목적의 1등으로 만들지 않아도 됩니다,다만 지금 질문의 목적에서는 하나를 고릅니다,지금 목적의 추천을 결론 칸에 먼저 쓰세요
mg_q05,compare,둘 다로 끝내지 않기,둘 다 장단점이 있다는 말로 끝내면 선택이 되지 않습니다,"약한 쪽도 쓸 수는 있으나, 아씨의 선택은 분명히 남깁니다",고른 자리를 어떻게 보완할지만 짧게 덧붙이세요
mg_q06,compare,재물과 거래 흐름 비교,"재물과 거래가 오가는 자리를 견줄 때는 사람이 들어오기 쉬운지와 오래 앉아 결정하는지를 같이 봅니다. 들어오기 쉬운 쪽이 거래를 시작하고, 앉아 있기 좋은 쪽이 거래를 마무리해요.","재물 흐름이란 매출 숫자가 아니라 사람이 들어와 머물며 무언가를 남기는 흐름이에요. 사람 카드가 높고 안정 카드도 받쳐야 거래가 쌓입니다.","두 자리 중 사람 카드와 안정 카드를 같이 더해서 더 높은 쪽이 재물이 머물기 좋은 쪽이에요."
mg_q07,compare,손님이 오는 자리 vs 이웃이 머무는 자리,"손님을 맞이하는 자리와 이웃·가족이 드나드는 자리는 결이 달라요. 손님은 빠르게 들어오고 떠나며 자극이 세야 좋고, 이웃과 가족은 자주 돌아와 오래 앉아야 좋습니다.","업종이 손님을 받는 가게라면 사람 카드가 높고 앞이 열린 쪽이 낫고, 주거나 단골 공간이라면 안정 카드와 뒤받침이 더 중요합니다.","지금 이 자리에서 맞이할 사람이 스치는 손님인지 오래 곁에 두는 관계인지를 먼저 정하세요."
mg_q08,compare,체류하는 자리 vs 지나가는 자리,"사람이 잠깐 들렀다 나가는 자리와 오래 앉아 일하거나 쉬는 자리는 기본 흐름이 달라요. 지나가는 흐름은 입구가 보이고 길목에 있는 게 유리하고, 머무는 흐름은 뒤가 받치고 안쪽이 조용한 게 좋습니다.","안정 카드와 땅 카드가 높은 쪽이 체류에 유리하고, 사람 카드와 재물 카드가 높은 쪽이 방문·유입에 더 유리한 편이에요.","지금 목적이 오래 앉혀 두는 것이면 받치는 쪽을 고르고, 빠른 회전이 목적이면 열린 쪽을 고르세요."
mg_q09,compare,책상 업무·집중 vs 영업·매장 비교,"집중하는 업무와 사람을 맞이하는 영업은 필요한 공간 결이 달라요. 집중 업무는 뒤가 받치고 조용한 쪽이 좋고, 영업과 매장은 앞이 열리고 사람이 스치기 쉬운 쪽이 맞습니다.","땅 카드와 안정 카드가 높은 쪽은 책상 앞에 앉아 집중하기 좋고, 사람 카드와 재물 카드가 높은 쪽은 고객 응대와 영업에 자연스럽게 맞아요.","어느 자리에서 일할지 고를 때는 하루의 대부분을 앉아서 일하는지, 사람을 맞이하는지를 먼저 따져 보세요."
mg_q10,compare,가족 안정 vs 관계·네트워크 비교,"가족과 살 집과 사람을 자주 만나는 공간은 결이 달라요. 가족이 함께 오래 머무는 집은 안정과 땅 받침이 중요하고, 만남과 교류가 많은 공간은 열린 앞쪽과 사람 흐름이 더 중요합니다.","안정 카드와 땅 카드가 높은 자리는 가족이 쉬고 모이기 좋고, 사람 카드와 재물 카드가 높은 자리는 모임·관계·네트워크가 이어지기 쉬워요.","결혼·육아·안정을 원한다면 받치는 쪽을 고르고, 만남과 교류를 넓히려면 열린 쪽을 고르세요."
mg_q11,compare,이사 결정 비교,"두 집 중 이사할 곳을 고를 때는 생활이 얼마나 오래 머무는지를 먼저 봅니다. 들어온 뒤 오래 리듬을 지키는 쪽이 살 집에 더 가까워요.","이사 목적이라면 안정 카드와 땅 카드를 더해서 높은 쪽이 살림이 길게 머물기 좋은 자리예요. 사람 카드가 높아도 안정이 낮으면 생활 리듬이 흔들리기 쉽습니다.","이사 후 오래 살 계획이라면 하루 끝에 안정이 돌아오는 자리를 고르세요."
mg_q12,compare,기획·집중형 vs 영업·실행형 비교,"기획하고 차분히 생각하는 일을 하는 사람과 빠르게 움직이고 사람을 만나는 일을 하는 사람이 필요한 자리 결이 달라요. 기획형은 집중 카드가 높고 조용한 쪽이 좋고, 실행·영업형은 활동 카드와 사람 카드가 높은 쪽이 잘 맞습니다.","같은 공간에 둘이 함께한다면 기획 자리는 안쪽 벽에, 영업 자리는 입구 가까운 열린 쪽에 두는 것이 자연스러워요.","하는 일의 결에 자리를 맞추세요. 결정하는 사람과 실행하는 사람이 있으면 공간을 나누는 것도 방법이에요."
mg_q13,compare,매장과 사무실 비교,"같은 건물이나 근처 자리라도 매장과 사무실이 필요한 결은 달라요. 매장은 길목에 앞이 열려 사람이 자연스럽게 들어오는 구조가 낫고, 사무실은 외부 자극보다 집중할 수 있는 뒤받침이 더 중요합니다.","사람 카드와 재물 카드가 높은 쪽이 매장에 유리하고, 땅 카드와 안정 카드가 높은 쪽이 사무실과 집중 업무에 더 맞아요.","지금 어떤 용도로 쓸지 먼저 정한 뒤 그에 맞는 카드가 높은 자리를 고르세요."
mg_q14,compare,어느 쪽에 오래 있어도 되나,"오래 있어도 지치지 않는 자리는 안정과 받침이 있는 쪽이에요. 활동이 세고 자극이 강한 자리는 짧게 쓰거나 쉬는 공간을 보완해야 합니다.","안정 카드와 땅 카드가 높은 쪽은 몇 달 이상 오래 있어도 리듬이 흐트러지지 않는 편이고, 사람 카드와 활동 카드가 높은 쪽은 몇 시간 단위로 활발하게 쓰는 용도에 맞아요.","장기 거주나 장기 사용이 목적이면 안정 카드가 높은 쪽을 고르세요."
mg_q15,compare,주의할 점 비교,"두 자리 모두 주의할 부분이 있어요. 어느 쪽을 고르든 보완이 필요한 한 가지씩을 짚어 두는 게 중요해요. 주의는 흉하다는 뜻이 아니라 어떤 부분이 더 약하고 무엇을 손봐야 하는지를 말합니다.","안정이 약한 쪽은 들어온 흐름이 오래 머물지 못해 사람과 재물이 스쳐 지나가는 경향이 있고, 앞이 너무 열려 자극이 센 쪽은 장기 거주나 집중 업무에서 쉽게 지칩니다.","고른 자리의 약한 부분만 먼저 보완하세요. 약한 점을 알고 쓰는 것이 모르고 쓰는 것보다 훨씬 낫습니다."
